study,label,n_drones,duration_s,drone_type,coverage_pct,mean_confidence,gap_zones,total_gap_km2,valley_coverage_pct,midslope_coverage_pct,alpine_coverage_pct,valley_confidence,midslope_confidence,alpine_confidence
swarm_size,5drones,5,60.0,small,2.16,0.3814,40,251.7865,2.26,2.31,2.01,0.314,0.3936,0.3887
swarm_size,10drones,10,60.0,small,4.33,0.3911,40,246.2103,5.15,5.09,3.48,0.3253,0.3966,0.4089
swarm_size,20drones,20,60.0,small,8.59,0.3939,40,235.226,10.3,10.45,6.62,0.3391,0.3967,0.4116
swarm_size,30drones,30,60.0,small,12.88,0.3991,40,224.1768,15.92,15.72,9.76,0.3381,0.4041,0.4173
swarm_size,50drones,50,60.0,small,21.51,0.3992,96,201.9207,27.27,26.25,16.12,0.3358,0.4037,0.4199
duration,30s,20,30.0,small,4.26,0.372,40,246.3681,10.48,5.87,1.37,0.3364,0.3802,0.4107
duration,60s,20,60.0,small,8.62,0.402,40,235.1423,10.36,10.45,6.65,0.3351,0.4091,0.4187
duration,90s,20,90.0,small,11.28,0.3829,40,228.2889,10.33,11.62,11.24,0.3385,0.3947,0.383
duration,120s,20,120.0,small,11.33,0.3832,43,228.1769,10.39,11.64,11.3,0.3341,0.3953,0.3842
drone_type,micro,20,60.0,micro,7.57,0.3813,65,237.5099,13.82,10.66,3.43,0.3381,0.3892,0.4044
drone_type,small,20,60.0,small,8.6,0.4001,40,235.2074,10.45,10.37,6.67,0.3358,0.405,0.419
drone_type,medium,20,60.0,medium,8.24,0.3817,40,236.1302,8.04,8.47,8.1,0.3331,0.3975,0.3801
